楼盘名称,开发商名称,是否售空,销售单价,楼盘性质
德信空港城,杭州空港置业有限公司,在售,70-98万/套,商业类
未来七彩小镇,嘉凯城城镇化建设发展（余杭闲林）有限公司,在售,100万/套,商业
地铁万科五常车辆段上盖,杭州西曙置业有限公司,在售,200万/套,商业
世嘉铭座,杭州新天地集团有限公司,在售,130-300万/套,商业类
凤凰府邸,杭州越城房地产开发有限公司,在售,73-101万/套,住宅
澳海云樾赋,杭州澳澜房地产开发有限公司,在售,105-148万/套,住宅
江山云樾府,杭州祥生弘图房地产开发有限公司,在售,230-335万/套,住宅
润枫东润紫园,淳安润枫房地产开发有限公司,在售,89-158万/套,住宅
赞成武林里,杭州赞成美树置业有限公司,在售,160-270万/套,商业类
湖印宸山庄,浙江暄竺实业有限公司,在售,850-1000万/套,别墅
碧桂园万科悦望名邸,杭州富耀置业有限公司,在售,196万/套,住宅
美麓美座,杭州北麓房地产开发有限公司,在售,95万/套,商业类
港郦中心,杭州港郦置业有限公司,在售,120万/套,商业类
富春金茂星外滩·秦望府,杭州秦茂置业有限公司,在售,275-520万/套,住宅
旭辉珺和府,杭州兴浦置业有限公司,在售,129-175万/套,住宅
滨江旭辉滨旭府,杭州兴塘置业有限公司,在售,227-290万/套,住宅
樟宜翠湾,杭州锦宁置业有限公司,在售,265-297万/套,住宅
奥莱金街,杭州九耀置业有限公司,在售,140-265万/套,商业类
地铁万科彩虹天空之城,杭州南璟置业有限公司,在售,308-392万/套,住宅
天樾四季城,杭州运塘房地产开发有限公司,在售,190-217万/套,住宅
绿城桂语新月,杭州绿城浙诗置业有限公司,在售,190-270万/套,住宅
绿城江上臻园,杭州绿城浙渊置业有限公司,在售,360万/套,住宅
绿城江畔锦园,杭州绿城银湖置业有限公司,在售,250-350万/套,住宅
朗诗溪涧雅庐,杭州临安朗茂置业有限公司,在售,240-430万/套,别墅
花栖云境里,招商局地产（杭州）有限公司,在售,215-236万/套,住宅
恒福禹都,浙江恒伟房地产开发有限公司,在售,112-186万/套,住宅
恒福禹都,浙江恒伟房地产开发有限公司,在售,441-540万/套,别墅
桃语春福里,杭州博临房地产开发有限公司,在售,80-130万/套,住宅
桃语春福里,杭州博临房地产开发有限公司,在售,价格待定,别墅
汇港城,杭州星日房地产开发有限公司,在售,125-235万/套,商业类
金汇之城,杭州弘汇房地产有限公司,在售,75-93万/套,商业类
中天大家宸澜学府,杭州嘉溪房地产开发有限公司,在售,150-200万/套,住宅
同乔里,杭州国翔置业有限公司,在售,236-414万/套,住宅
弘元江山潮鸣,建德弘耀置业有限公司,在售,100-190万/套,住宅
佳源山湖印二期,杭州临安锦海房地产开发有限责任公司,在售,150-180万/套,住宅
祥生中心,杭州祥生弘瑞房地产开发有限公司,在售,180-280万/套,商业类
祥生中心,杭州祥生弘瑞房地产开发有限公司,在售,200万/套,商业
西投德信云湖印,杭州西投德信商业发展有限公司,在售,1000万/套,商业
Mo.C星辉时光城,杭州航民科尔置业有限公司,在售,60-160万/套,商业类
建杭江与河,浙江建杭置业有限公司,在售,2300-2500万/套,商业类
融信美好宝龙锦云澜天里,杭州美生美置业有限公司,在售,60万/套,底商
悦江府,桐庐信恒房地产开发有限公司,在售,58-113万/套,住宅
招商德信云望之宸,杭州德信春望置业有限公司,在售,237-290万/套,住宅
