楼盘名称,开发商名称,是否售空,销售单价,楼盘性质
得力名望府,浙江得力房地产开发有限公司,售罄,价格待定,住宅
众安理想湾,杭州安源房地产开发有限公司,售罄,价格待定,住宅
万通时尚公馆,杭州万通邦信置业有限公司,售罄,价格待定,住宅
东晖龙悦湾,杭州东晖房地产开发有限公司,售罄,价格待定,住宅
嘉丰万悦城,浙江嘉丰房地产开发有限公司 ,售罄,价格待定,住宅
富邦星座,富邦置业集团有限公司  ,售罄,价格待定,商业类
淮矿东元府,淮矿地产（杭州）有限公司,售罄,价格待定,住宅
东海水景城,杭州新东海置业有限公司,售罄,218万/套,住宅
星汇花园,杭州越秀房地产开发有限公司,售罄,价格待定,住宅
新城香悦半岛,杭州新城鼎佳房地产开发有限公司 ,售罄,价格待定,住宅
佳兆业西溪璞园,杭溪隆业房地产（杭州）有限公司,售罄,价格待定,住宅
万科郡西澜山,杭州林庐房地产开发有限公司 ,售罄,价格待定,住宅
九龙仓君廷,锦兴房地产开发（杭州）有限公司,售罄,价格待定,住宅
融信学院府,杭州恺筑融信房地产开发有限公司,售罄,价格待定,住宅
万科杭宸,杭州万溢置业有限公司,售罄,价格待定,住宅
富力十号院,杭州联富房地产开发有限公司,售罄,价格待定,住宅
九龙仓珑玺,望华房地产（杭州）有限公司,售罄,价格待定,住宅
东方君悦,浙江全景置业有限公司,售罄,价格待定,商业类
中国铁建国际花园,未知开发商,售罄,价格待定,住宅
滨江东方海岸(萧山),杭州滨江盛元海岸房地产开发有限公司,售罄,价格待定,住宅
郡原相江公寓,杭州天名房地产有限公司,售罄,价格待定,住宅
金都夏宫,杭州贝利金都置业有限公司,售罄,价格待定,住宅
保亿丽景山,保亿置业（杭州）有限公司,售罄,价格待定,别墅
茂宸金座,杭州世茂嘉年华置业有限公司,售罄,2660万/套,住宅
新城峯璟,杭州新城创盛房地产开发有限公司,售罄,价格待定,住宅
金都夏宫,杭州贝利金都置业有限公司,售罄,价格待定,别墅
杭钢尚堂府,杭州紫元康盛房地产开发有限公司,售罄,价格待定,住宅
万科坤和玉泉,未知开发商,售罄,价格待定,住宅
佳源名城,未知开发商,售罄,价格待定,住宅
昆盛肖邦,杭州昆盛房地产开发有限公司,售罄,价格待定,住宅
中栋国际,杭州中栋房地产开发有限公司,售罄,580万/套,住宅
阳光城翡丽湾,杭州臻博房地产开发有限公司,售罄,价格待定,住宅
坤和和家园,杭州振兴置业投资有限公司,售罄,价格待定,住宅
协安蓝郡,浙江运河协安置业有限公司,售罄,价格待定,住宅
保利梧桐语,杭州保利建锦房地产开发有限公司 ,售罄,价格待定,住宅
新天地中心,杭州新天地集团有限公司,售罄,159万/套,商业类
首开武林8栋,杭州首开龙泰房地产开发有限公司,售罄,价格待定,住宅
恒基旭辉府,杭州旭开置业有限公司,售罄,价格待定,住宅
中兴御田清庭,杭州景腾房地产开发有限公司 ,售罄,价格待定,住宅
保利中心,杭州安泽房地产开发有限公司 ,售罄,价格待定,住宅
东日晴好,浙江东日房地产开发有限公司,售罄,价格待定,住宅
东亚新干线,杭州信全置业有限公司,售罄,价格待定,商业类
黄金时代,杭州东宇润城房地产开发有限公司,售罄,价格待定,商业类
蓝钻天成,浙江好安好居置业有限公司,售罄,价格待定,商业类
众安白马山庄,杭州众安房地产开发有限公司,售罄,价格待定,别墅
绿城桃花源,杭州余杭绿城房地产开发有限公司,售罄,价格待定,别墅
城发云锦城,杭州城发置业发展有限公司,售罄,价格待定,住宅
新城红郡,杭州嘉浩房地产开发有限公司,售罄,价格待定,住宅
融创瑷骊山,杭州嘉谊置业有限公司,售罄,价格待定,住宅
万科大家世纪之光,杭州万科大家房地产开发有限公司,售罄,价格待定,住宅
北辰奥园,杭州北辰置业有限公司,售罄,价格待定,住宅
金地天逸,杭州金地香湖房地产开发有限公司,售罄,价格待定,住宅
金地格林格林,未知开发商,售罄,价格待定,住宅
赞成赞城,杭州金樽房地产开发有限公司,售罄,价格待定,住宅
顺发吉祥半岛,未知开发商,售罄,价格待定,别墅
贝利云栖中心,杭州昊元置业有限公司,售罄,价格待定,商业类
余之城,杭州高庆房地产有限公司,售罄,价格待定,住宅
华元西溪欢乐城,杭州欢乐城投资有限公司,售罄,220万/套,商业类
富力新线公园,杭州启富房地产开发有限公司,售罄,价格待定,住宅
金地西溪风华,杭州金来房地产开发有限公司,售罄,价格待定,住宅
北大资源未名府,浙江北大资源地产有限公司,售罄,价格待定,住宅
天润商业中心,杭州天泽房地产开发有限公司 ,售罄,175万/套,商业类
华元花涧堂,杭州美林房地产开发有限公司,售罄,价格待定,别墅
天阳武林邸,杭州天帆置业有限公司,售罄,价格待定,住宅
东南钱江蓝湾,杭州亚马逊置业有限公司,售罄,价格待定,住宅
万科缦云坊,浙江南都置业有限公司,售罄,价格待定,住宅
大运宸府,杭州金来房地产开发有限公司,售罄,价格待定,住宅
中国铁建西湖国际城,杭州京瑞置业有限公司,售罄,价格待定,住宅
湖景居,杭州濠江房地产开发有限公司 ,售罄,277万/套,住宅
万科北宸之光三期拱宸,杭州万通杭昀置业有限公司,售罄,价格待定,住宅
滨江铂金海岸,未知开发商,售罄,价格待定,住宅
首开望宸,杭州首开旭泰房地产开发有限公司,售罄,价格待定,住宅
艺尚里,杭州凯华投资有限公司,售罄,价格待定,住宅
万科海上明月,杭州锦繁置业有限公司,售罄,价格待定,住宅
云溪新语,杭州祥生弘远房地产开发有限公司,售罄,价格待定,住宅
潮闻天下,杭州百合房地产开发有限公司,售罄,621万/套,别墅
信融御金台,杭州信融置业有限公司,售罄,968万/套,商业类
绿城九龙仓柳岸晓风,未知开发商,售罄,价格待定,住宅
新城香悦奥府,杭州新城创佳房地产开发有限公司,售罄,价格待定,住宅
西溪风情花园,浙江大华房地产开发有限公司,售罄,价格待定,住宅
德信君宸,未知开发商,售罄,价格待定,住宅
上实海上海,杭州上实置业有限公司,售罄,价格待定,住宅
碧桂园西江月, 杭州碧桂园房地产开发有限公司,售罄,价格待定,住宅
雍荣华庭,未知开发商,售罄,价格待定,住宅
中企艮山府,杭州中华企业房地产发展有限公司,售罄,价格待定,住宅
鑫运时代金座,浙江玉海房地产开发有限公司,售罄,价格待定,商业类
融创金成西溪海,杭州金成金都置业有限公司,售罄,价格待定,住宅
融创金成西溪海,杭州金成金都置业有限公司,售罄,价格待定,别墅
龙湖武林九里,杭州龙瑞房地产开发有限公司,售罄,价格待定,住宅
滨江华家池,杭州滨江商博房地产开发有限公司,售罄,价格待定,商业类
天阳文晖,杭州尚诚置业有限公司,售罄,价格待定,住宅
万科新都会1958,浙江万科南都房地产有限公司,售罄,价格待定,住宅
广宇万科公园里,杭州万鼎置业有限公司,售罄,价格待定,住宅
雍和府,招商局地产（杭州）有限公司,售罄,价格待定,住宅
大家绿城金麟府,未知开发商,售罄,价格待定,住宅
滨江德信东方星城,杭州滨润房地产开发有限公司,售罄,价格待定,住宅
万科中央公园,杭州万旭置业有限公司,售罄,价格待定,住宅
滨江华成大江之星,浙江华成置业发展有限公司,售罄,价格待定,住宅
潮闻天下,杭州百合房地产开发有限公司,售罄,112万/套,住宅
江滨澜廷,未知开发商,售罄,价格待定,商业类
之江九里,杭州润鸿置业有限公司,售罄,价格待定,别墅
滨江东方海岸(萧山),杭州滨江盛元海岸房地产开发有限公司,售罄,价格待定,别墅
朝阳银座,杭州众安盛隆鲤鱼门置业有限公司,售罄,价格待定,商业类
佳兆业西溪璞园,杭溪隆业房地产（杭州）有限公司,售罄,价格待定,别墅
万科溪望,未知开发商,售罄,价格待定,别墅
向江来时代中心,未知开发商,售罄,价格待定,商业类
西溪君庐,浙江百家乐房地产开发有限公司,售罄,价格待定,别墅
旭辉时代城,杭州旭广置业有限公司,售罄,价格待定,住宅
杭钢紫元旭润和府,未知开发商,售罄,价格待定,住宅
宋都时间国际,杭州淘天地房地产开发有限公司,售罄,价格待定,商业类
恒祺克拉天玺,浙江弄口恒祺置业有限公司,售罄,价格待定,商业类
奥克斯缔逸城,杭州余杭奥克斯古墩置业有限公司,售罄,价格待定,商业类
融信澜天,杭州恺泽房地产开发有限公司,售罄,价格待定,住宅
融信澜天,杭州恺泽房地产开发有限公司,售罄,价格待定,别墅
金地西溪风华,杭州金来房地产开发有限公司,售罄,价格待定,别墅
宋都东郡之星,杭州润都房地产开发有限公司,售罄,价格待定,住宅
中国铁建保利像素,杭州建申房地产开发有限公司,售罄,价格待定,住宅
万科溪望,未知开发商,售罄,价格待定,住宅
荀庄,浙江物产良渚花苑房地产开发有限公司,售罄,价格待定,别墅
野风启城,杭州野风欣代房地产开发有限公司 ,售罄,价格待定,住宅
溪悦宸府,温州大都市建设开发有限公司余杭分公司,售罄,价格待定,住宅
科尔世纪外滩,杭州尼罗河置业有限公司,售罄,价格待定,住宅
科尔世纪外滩,杭州尼罗河置业有限公司,售罄,1678万/套,别墅
光明尚海湾,未知开发商,售罄,22799元/㎡,住宅
赞成檀府,未知开发商,售罄,价格待定,住宅
赞成檀府,未知开发商,售罄,价格待定,别墅
中港罗兰小镇,杭州中港绿泰房地产开发有限公司,售罄,价格待定,住宅
新湖香格里拉,杭州新城创宏房地产开发有限公司,售罄,2368万/套,别墅
兴耀星悦湾,未知开发商,售罄,价格待定,别墅
华元欢乐城,未知开发商,售罄,价格待定,商业类
广厦天都城天熙公馆,浙江天都实业有限公司,售罄,价格待定,住宅
泰地北上新城,杭州泰地置业有限公司,售罄,价格待定,商业类
杭州明石商业大厦,杭州明石置业有限公司,售罄,价格待定,商业类
杭州港龙城,杭州港龙置业有限公司,售罄,价格待定,商业类
绿城桃源小镇,杭州西溪山庄房地产开发有限公司,售罄,价格待定,住宅
万科郡西,杭州林庐房地产开发有限公司 ,售罄,价格待定,别墅
绿城运河郡,杭州新明置业投资有限公司,售罄,价格待定,商业类
金铂湾,杭州中月置业有限公司,售罄,211万/套,商业类
新城红郡,杭州嘉浩房地产开发有限公司,售罄,价格待定,别墅
华鼎君临天峯,未知开发商,售罄,价格待定,住宅
创客空间大厦,杭州绿凯房地产开发有限公司,售罄,价格待定,商业类
梦溪东明山居,杭州梦溪房地产开发有限公司,售罄,价格待定,住宅
华瑞湘湖美地,杭州华瑞房地产开发有限公司,售罄,价格待定,住宅
杉杉恒和依山郡,杭州恒和蕾束置业有限公司,售罄,价格待定,住宅
杉杉恒和依山郡,杭州恒和蕾束置业有限公司,售罄,价格待定,别墅
恒厚阳光城,未知开发商,售罄,价格待定,住宅
钱塘梧桐蓝山,杭州洲际房地产开发有限公司 ,售罄,价格待定,住宅
明华名港城二期,杭州明华置业有限公司,售罄,价格待定,住宅
明华名港城二期,杭州明华置业有限公司,售罄,价格待定,别墅
大奇山郡,桐庐大奇山郡置业有限公司,售罄,价格待定,别墅
财和湘域湾,杭州财和房地产开发有限公司,售罄,价格待定,别墅
湖山帝景湾,杭州世茂新里程置业有限公司,售罄,价格待定,别墅
CBC时代大观,杭州新宏房地产开发有限公司,售罄,价格待定,商业类
绿都南江壹号,未知开发商,售罄,价格待定,住宅
天鸿香榭里,浙江广鸿房地产开发有限公司,售罄,价格待定,住宅
广宇鼎悦府,广宇集团股份有限公司,售罄,价格待定,住宅
开元广场,杭州开元世纪置业有限公司,售罄,价格待定,别墅
顺发堤香,顺发恒业有限公司,售罄,价格待定,住宅
世茂中心,海墅房地产开发（杭州）有限公司,售罄,价格待定,写字楼
富亿NEO中心,杭州富亿房地产开发有限公司,售罄,价格待定,写字楼
远洋杭州大运河商务区,杭州远洋运河商务区开发有限公司,售罄,价格待定,写字楼
理想银泰城,杭州理想银泰购物中心有限公司,售罄,价格待定,商业类
下沙宝龙城市广场,杭州宝龙房地产开发有限公司,售罄,价格待定,商业类
西溪蓝海,杭州合能房地产开发有限公司,售罄,价格待定,商业类
宋都时间国际,杭州淘天地房地产开发有限公司,售罄,23000元/㎡,写字楼
富力西溪悦墅,杭州瑞富房地产开发有限公司,售罄,价格待定,别墅
合景映月台,杭州隽安房地产开发有限公司,售罄,价格待定,住宅
绿地旭辉城,杭州拓江置业有限公司,售罄,价格待定,商业类
龙湖水晶郦城,杭州龙禧房地产开发有限公司,售罄,价格待定,住宅
绿野御墅,杭州绿野房地产开发有限公司,售罄,1450万/套,别墅
西溪智慧健康谷,杭州大涵置业有限公司,售罄,92万/套,商业类
世茂之西湖,杭州世融汇盈置业有限公司,售罄,价格待定,商业类
港汇中心,杭州绿都实业投资有限公司,售罄,价格待定,商业类
绿城运河郡,杭州新明置业投资有限公司,售罄,价格待定,商业
春江香樟苑,杭州澳澜房地产开发有限公司,售罄,价格待定,住宅
融创玖樟台,杭州新融盛耀置业有限公司,售罄,价格待定,住宅
佳源未来府,杭州蓝源置业有限公司,售罄,价格待定,住宅
中骏钱塘御景,杭州白鹭房地产开发有限公司,售罄,价格待定,住宅
万宝城,浙江卓伟置业有限公司,售罄,价格待定,商业
浙港国际,未知开发商,售罄,价格待定,商业类
华夏四季,浙江康誉置业有限公司,售罄,价格待定,住宅
滨江旭辉万家之星,未知开发商,售罄,价格待定,住宅
尚城墅,杭州钱江城发展有限公司,售罄,价格待定,别墅
万科未来城三期梦溪里,杭州万宁置业有限公司,售罄,价格待定,别墅
富力天贸广场,杭州富力房地产开发有限公司,售罄,价格待定,商业类
通和十二橡树,杭州益荣房地产开发有限公司,售罄,价格待定,别墅
青山湖玫瑰园,临安西子房地产开发有限公司,售罄,595万/套,别墅
滨江江南之星,杭州京滨置业有限公司,售罄,价格待定,住宅
南洋名都,杭州临安南洋房地产有限公司,售罄,154万/套,住宅
郡乐苑,杭州明华置业有限公司,售罄,价格待定,住宅
东厦东港花苑,杭州美孚房地产开发有限公司,售罄,价格待定,住宅
万通中心,杭州万通时尚置业有限公司,售罄,价格待定,商业类
翡翠城三期,杭州翡翠城房地产开发有限公司,售罄,价格待定,别墅
星运丽园兰逸,杭州金世纪房地产开发有限公司,售罄,价格待定,别墅
湘湖壹号,杭州滨江盛元房地产开发有限公司,售罄,价格待定,别墅
万科君望,富阳东润置业有限公司,售罄,600万/套,别墅
万科良渚文化村堂前,浙江南都置业有限公司,售罄,价格待定,别墅
大千古街,淳安大千古街旅游开发有限公司,售罄,价格待定,住宅
中天珺府,临安中天房地产开发有限公司,售罄,价格待定,别墅
宋都东郡国际,未知开发商,售罄,价格待定,别墅
观澜时代云邸苑,金隅（杭州）房地产开发有限公司,售罄,价格待定,别墅
绿城曼陀花园,未知开发商,售罄,369万/套,别墅
澳海澜庭,浙江三江房地产开发有限公司,售罄,72万/套,别墅
龙湖春江天玺,杭州龙湖房地产开发有限公司,售罄,价格待定,住宅
新城香悦半岛,杭州新城鼎佳房地产开发有限公司 ,售罄,价格待定,别墅
竹径云山,浙江南都置业有限公司,售罄,价格待定,别墅
梅和名府,杭州萧山梅花楼置业有限公司,售罄,价格待定,住宅
杭州港龙城,杭州港龙置业有限公司,售罄,25000元/㎡,商业
玲珑府,未知开发商,售罄,592万/套,商业
万都晶座,未知开发商,售罄,价格待定,商业类
北湖绿洲花园,杭州百达房地产开发有限公司,售罄,价格待定,住宅
领航城,杭州长龙置业有限公司,售罄,价格待定,住宅
卓越蔚蓝领秀二期,杭州鹏跃置业有限公司,售罄,价格待定,住宅
金世纪运河丽园,杭州金世纪房地产开发有限公司,售罄,价格待定,住宅
通和十二橡树,杭州益荣房地产开发有限公司,售罄,价格待定,住宅
新城香悦公馆,杭州新城德佳房地产开发有限公司,售罄,价格待定,住宅
融创河滨之城雨澜轩,未知开发商,售罄,价格待定,商业
瑞金华丽嘉苑,杭州瑞金房地产有限公司 ,售罄,价格待定,住宅
东晖龙悦湾,杭州东晖房地产开发有限公司,售罄,价格待定,别墅
星运丽园兰逸,杭州金世纪房地产开发有限公司,售罄,价格待定,住宅
碧桂园深蓝国际,杭州纽安能置业有限公司,售罄,1100万/套,商业类
新城龙湖湾上风华,杭州新城松郡房地产开发有限公司,售罄,价格待定,住宅
合景映月台,杭州隽安房地产开发有限公司,售罄,价格待定,别墅
旺君国际,杭州盛旺君投资有限公司,售罄,价格待定,写字楼
融信学院府,杭州恺筑融信房地产开发有限公司,售罄,价格待定,商业
金色黎明三期,未知开发商,售罄,350万/套,商业
融信永兴首府,杭州恺融房地产开发有限公司,售罄,价格待定,别墅
中豪七格,未知开发商,售罄,价格待定,商业
融信永兴首府,杭州恺融房地产开发有限公司,售罄,价格待定,住宅
东方铭楼,未知开发商,售罄,价格待定,商业类
华元欢乐城,未知开发商,售罄,价格待定,商业
佳源优优锦城,杭州中惠房地产开发有限公司,售罄,价格待定,住宅
北大资源未名府,浙江北大资源地产有限公司,售罄,价格待定,商业类
华元天鹅堡,杭州云泽置业有限公司,售罄,384万/套,商业类
景瑞天赋,未知开发商,售罄,价格待定,住宅
滨江新城东方名府,杭州滨通房地产开发有限公司,售罄,价格待定,住宅
新天地金色时光,杭州弘驿置业有限公司,售罄,292万/套,住宅
中赢金城里,未知开发商,售罄,价格待定,写字楼
阳光银泰城,杭州中大圣马置业有限公司,售罄,价格待定,写字楼
九龙湾,未知开发商,售罄,价格待定,别墅
宋都晨光国际,杭州恒都房地产开发有限公司,售罄,价格待定,商业
太平洋银座,杭州中基太平洋置业有限公司,售罄,价格待定,写字楼
义桥星天地,杭州萧水投资置业有限公司,售罄,价格待定,商业
金沙世纪大厦,杭州广盛置业有限公司,售罄,价格待定,写字楼
崇贤上亿广场,杭州亿丰亿贤置业有限公司,售罄,价格待定,商业
山水国际,富阳华都山水房地产开发有限公司 ,售罄,价格待定,商业
华润万象汇,华润置地（杭州）发展有限公司,售罄,350万/套,写字楼
银泰海威国际,杭州海威房地产开发有限公司,售罄,价格待定,写字楼
赞成中心,杭州金汇房地产开发有限公司,售罄,价格待定,写字楼
元成时代中心,杭州倍邦置业有限公司,售罄,价格待定,商业
浙港国际,未知开发商,售罄,价格待定,商业
原禾大厦,杭州原禾安芯置业有限公司,售罄,价格待定,商业
中旅城仕公馆,港中旅成得（杭州）置业有限公司,售罄,30000元/㎡,商业
杭州万达广场,未知开发商,售罄,价格待定,写字楼
宋都丽郡国际,杭州鸿都置业有限公司,售罄,价格待定,住宅
绿地中央广场,绿地控股集团（浙江）房地产开发有限公司,售罄,价格待定,写字楼
铁建万科江湾城,杭州京科置业有限公司,售罄,价格待定,住宅
新天地G193广场,杭州万泽实业发展有限公司,售罄,48万/套,商业
中节能西溪首座,杭州蒋村新区建设有限公司,售罄,价格待定,写字楼
金街美地,浙江双鎏置业有限公司,售罄,价格待定,商业
东海闲湖城,杭州东海春房地产开发有限公司,售罄,223万/套,住宅
沈半路灯具市场,杭州鹏龙实业投资有限公司,售罄,价格待定,写字楼
保利中心,杭州安泽房地产开发有限公司 ,售罄,60000元/㎡,商业
天鸿美和院,富阳天鸿房地产开发有限公司,售罄,价格待定,商业类
武林外滩,杭州天城房地产开发有限公司,售罄,价格待定,商业类
越秀星汇尚城,杭州越隽房地产开发有限公司,售罄,315万/套,商业
金地艺境,杭州褐石房地产开发有限公司  ,售罄,价格待定,商业
英冠乐创城,浙江中冠房地产开发有限公司 ,售罄,40000元/㎡,商业类
中豪国际,杭州中豪五星国际置业有限公司,售罄,价格待定,写字楼
梧桐燕庐,杭州钱塘房地产开发集团有限公司,售罄,价格待定,别墅
玖玖国际财富中心,浙江胤超置业有限责任公司,售罄,56万/套,商业
蓝钻天成,浙江好安好居置业有限公司,售罄,价格待定,商业
万科未来城二期,杭州万鼎置业有限公司,售罄,价格待定,商业
江南国际丝绸城,杭州涛巴京实业有限公司,售罄,价格待定,商业类
江南国际丝绸城,杭州涛巴京实业有限公司,售罄,价格待定,商业
中铁九逸,杭州中铁和丰置业有限公司 ,售罄,价格待定,住宅
旭辉滨江东方悦府,杭州滨旭置业有限公司,售罄,价格待定,住宅
越秀维多利中心, 杭州越辉房地产开发有限公司,售罄,价格待定,写字楼
海德公园,浙江金澳置业有限公司,售罄,价格待定,住宅
和昌府,杭州和昌置业发展有限公司,售罄,价格待定,住宅
香港兴业耦园,未知开发商,售罄,价格待定,住宅
祥生群贤府,杭州祥生弘盛房地产开发有限公司,售罄,价格待定,住宅
祥生群贤府,杭州祥生弘盛房地产开发有限公司,售罄,价格待定,别墅
融创时代奥城,杭州融御置业有限公司,售罄,价格待定,住宅
绿城运河宸园,杭州奥诚房地产有限公司,售罄,价格待定,别墅
金色和庄,浙江金诺房地产开发有限公司,售罄,108万/套,住宅
雷威沁园,未知开发商,售罄,16396元/㎡,住宅
朗诗熙华府,杭州朗优置业有限公司,售罄,价格待定,住宅
阳光城西郊半岛,杭州富阳碧水源房地产有限公司,售罄,204万/套,住宅
融创涌清府,杭州融汇前江置业有限公司,售罄,价格待定,住宅
祥生钱塘新语,海宁祥生房地产开发有限公司,售罄,价格待定,住宅
滨江金茂府,未知开发商,售罄,65981元/㎡,住宅
复泰雅宸华庭,杭州复泰旅游开发有限公司,售罄,189万/套,住宅
复泰雅宸华庭,杭州复泰旅游开发有限公司,售罄,652万/套,别墅
望湖山庄,杭州千岛湖望湖度假村有限公司,售罄,价格待定,住宅
玉兰花园, 杭州千岛湖房地产开发有限公司,售罄,价格待定,住宅
天阳文晖,杭州尚诚置业有限公司,售罄,价格待定,商业
浙商国际中心,杭州草庄置业有限公司,售罄,价格待定,商业
西溪曼哈顿,浙江恒发置业有限公司,售罄,价格待定,商业类
华策中心,浙江影视产业国际合作实验区西溪实业有限公司,售罄,204万/套,商业类
龙湖天钜,杭州龙昊房地产开发有限公司,售罄,价格待定,住宅
万科劝学里,杭州万珑置业有限公司,售罄,价格待定,住宅
万佳居,杭州广都投资有限公司,售罄,价格待定,商业
赞成杭家,杭州博越房地产开发有限公司,售罄,价格待定,商业
西溪十九府,浙江海陆控股集团有限公司,售罄,462万/套,商业类
首开武林8栋,杭州首开龙泰房地产开发有限公司,售罄,价格待定,商业
宝嘉誉府,杭州宝旭房地产开发有限公司,售罄,40000元/㎡,商业
天阳武林邸,杭州天帆置业有限公司,售罄,308万/套,商业
远洋招商上塘宸章,杭州宸远招盛置业有限公司,售罄,价格待定,住宅
禹洲滨澜铭座,中维地产浙江有限公司,售罄,价格待定,住宅
旭辉珺悦府,杭州众旭置业有限公司,售罄,价格待定,住宅
华瑞晴庐,未知开发商,售罄,价格待定,商业
钱塘航空大厦,浙江一统实业有限公司	,售罄,35000元/㎡,商业类
采荷嘉业大厦,杭州宋都房地产集团有限公司,售罄,价格待定,写字楼
景瑞阳光城法兰公园,杭州销颖房地产开发有限公司,售罄,18960元/㎡,住宅
首开杭州金茂府,未知开发商,售罄,价格待定,住宅
钱江御府,杭州天祥房地产有限公司,售罄,价格待定,商业
中欧城,杭州桐庐中欧城开发有限公司,售罄,70万/套,商业类
交投绿城明珠国际,杭州金基房地产开发有限公司,售罄,价格待定,写字楼
千岛湖嘉苑,杭州千岛湖安通房地产开发有限公司,售罄,162万/套,住宅
德信东望,未知开发商,售罄,价格待定,商业
赞成首府,未知开发商,售罄,价格待定,商业类
钱江西溪和景,杭州和景置业有限公司,售罄,206万/套,写字楼
融信蓝孔雀,杭州恺筑融信房地产开发有限公司,售罄,价格待定,商业
富阳财富中心,富阳海通房地产有限公司,售罄,490万/套,写字楼
昆盛肖邦,杭州昆盛房地产开发有限公司,售罄,35000元/㎡,商业
英冠乐创城,浙江中冠房地产开发有限公司 ,售罄,409万/套,商业
融信江南学府,杭州融悦房地产开发有限公司,售罄,价格待定,住宅
保利融信大国璟,杭州融欣房地产开发有限公司,售罄,价格待定,住宅
万科未来城三期梦溪里,杭州万宁置业有限公司,售罄,价格待定,住宅
碧桂园天麓府, 杭州碧桂园房地产开发有限公司,售罄,价格待定,住宅
富春新天地,杭州钧顺房地产开发有限公司,售罄,94万/套,商业类
广厦天都城滨沁&沁源公寓,浙江天都实业有限公司,售罄,价格待定,住宅
雍和府,招商局地产（杭州）有限公司,售罄,价格待定,商业
新城香悦公馆,杭州新城德佳房地产开发有限公司,售罄,价格待定,别墅
东新府,杭州龙元房地产开发有限公司,售罄,价格待定,商业
祥生云浦新语,杭州祥生弘景房地产开发有限公司,售罄,价格待定,住宅
向江来时代中心,未知开发商,售罄,价格待定,商业
昆仑天籁,未知开发商,售罄,价格待定,商业
中赢金城里,未知开发商,售罄,价格待定,商业
雅居乐国际花园,杭州余杭雅居乐房地产开发有限公司,售罄,125万/套,商业
金隅空港公馆,金隅（杭州）房地产开发有限公司,售罄,20000元/㎡,商业类
融创金成未来海,杭州金合置业有限公司,售罄,价格待定,住宅
钱江之江新天地,杭州钱江浮山房地产开发有限公司,售罄,价格待定,商业类
金岸提香,杭州中港绿泰房地产开发有限公司,售罄,660万/套,别墅
复泰雅宸华庭,杭州复泰旅游开发有限公司,售罄,61万/套,商业类
四维金座,未知开发商,售罄,价格待定,商业类
富春硅谷,杭州富春硅谷投资有限公司,售罄,价格待定,写字楼
南钻广场,杭州鹏浩置业有限公司,售罄,价格待定,商业
天达广场,杭州天达置业有限公司,售罄,14500元/㎡,写字楼
三花国际,杭州三花国际大厦有限公司,售罄,42000元/㎡,商业类
合诚之江商务中心,杭州合诚置业有限公司,售罄,价格待定,写字楼
绿城西溪世纪广场,浙江爱茵霍芬置业有限公司,售罄,15300万/套,写字楼
临平西子国际,杭州余杭西子置业有限公司,售罄,价格待定,写字楼
佳源银座,杭州墅源房地产开发有限公司,售罄,价格待定,写字楼
绿谷杭州东部创新中心,杭州九鑫投资有限公司,售罄,价格待定,写字楼
状元府,杭州通策宝群置业有限公司,售罄,价格待定,别墅
融信萧山公馆,杭州恺兴房地产开发有限公司 ,售罄,价格待定,住宅
碧桂园越溪府,杭州碧泰置业有限公司,售罄,15338元/㎡,住宅
万科劝学里,杭州万珑置业有限公司,售罄,价格待定,商业类
西溪智慧健康谷,杭州大涵置业有限公司,售罄,288万/套,商业
越秀亲爱里,杭州越秀房地产开发有限公司,售罄,价格待定,商业
世茂钱塘天誉,杭州茂国悦盈置业有限公司,售罄,价格待定,住宅
云山九里,桐庐大奇山郡置业有限公司,售罄,价格待定,别墅
中南樾府,杭州中南御锦置业有限公司,售罄,价格待定,住宅
绿城桃李春风,临安金基房地产开发有限公司,售罄,947万/套,别墅
融信公馆arc,杭州融誉房地产开发有限公司,售罄,价格待定,住宅
中欧城,杭州桐庐中欧城开发有限公司,售罄,30万/套,商业
绿地G合里金宸,绿地控股集团杭州众银置业有限公司,售罄,价格待定,商业类
璞玉公馆,杭州中润瑞丰置业有限公司,售罄,170万/套,商业类
蓝色春江,桐庐加贝置业有限公司,售罄,250万/套,住宅
中交财富中心,未知开发商,售罄,价格待定,商业类
华瑞中心,杭州华瑞房地产开发有限公司,售罄,340万/套,商业类
合景天銮,杭州泓升房地产开发有限公司,售罄,价格待定,住宅
西溪新城市,杭州西溪汇金置业有限公司 ,售罄,价格待定,商业类
江南时代购物中心,杭州高扬国际贸易有限公司,售罄,价格待定,商业
O纪元,杭州亚润置业有限公司,售罄,193万/套,商业类
阳光银泰城,杭州中大圣马置业有限公司,售罄,价格待定,商业
东方铭楼,未知开发商,售罄,200万/套,商业
临平芳满庭,杭州美润房地产有限公司,售罄,价格待定,住宅
融创玖樟台,杭州新融盛耀置业有限公司,售罄,价格待定,商业
德信杭州之翼,杭州宇威置业有限公司,售罄,180万/套,商业类
西房拱宸外滩,杭州鑫贤置业有限公司,售罄,价格待定,住宅
复地壹中心,杭州复拓置业有限公司,售罄,300万/套,商业
京港国际,浙江天伟置业有限公司,售罄,755万/套,商业类
力雅广场,杭州顺程置业有限公司,售罄,75万/套,商业类
柏悦公馆,杭州长裕房地产开发有限公司,售罄,价格待定,商业类
朗诗乐府,杭州朗优置业有限公司,售罄,42000元/㎡,住宅
恒祺克拉天玺,浙江弄口恒祺置业有限公司,售罄,200万/套,商业
北辰国颂府,杭州北辰置业有限公司,售罄,36700元/㎡,住宅
