job_name,position,diploma,company_name,company_size,company_type,salary
【北京】销售管培生/储备经理,北京,大专,青岛辣工坊食品有,100-299人,民营,7千-9千
财务信息化管理岗,北京,硕士,中国移动,100-299人,国企,面议
销售战略计划专员,北京,本科,慧与中国,1000-9999人,外商独资,1万-1.5万
智能驾驶测试评价工程师,北京,硕士,国家创新中心,500-999人,国企,面议
战略合作专员（北京）(J10226),北京,本科,360集团,100-299人,其它,面议
生物信息统计方向(J10611),北京,硕士,甘李药业,1000-9999人,股份制企业,9千-1.3万
稽核大数据建模,北京,本科,中国联合网络通信有限公司北京市分公司,,国企,面议
信息安全工程师,北京,硕士,中海油,10000人以上,国企,面议
安全应急响应服务工程师(J11002),北京,本科,联通数科,1000-9999人,国企,1万-2万
引擎开发工程师（北京）(J10220),北京,本科,360集团,100-299人,其它,面议
销售技术支持工程师,北京,本科,“互联网之光”博览会,,其它,8千-1.5万
大数据策略与软件开发工程师,北京,硕士,北汽集团,100-299人,国企,面议
全球生产技术管理方向(J10570),北京,本科,甘李药业,1000-9999人,股份制企业,5千-9千
结构研发工程师,北京,博士,中国铁建,10000人以上,国企,面议
安全工程师（北京）,北京,本科,蚂蚁集团,10000人以上,民营,面议
数据库开发工程师,北京,本科,“互联网之光”博览会,,其它,面议
平台支撑岗,北京,硕士,中国移动,100-299人,国企,面议
冲压工艺工程师,北京,硕士,北汽集团,100-299人,国企,面议
数据分析师,北京,硕士,电视电声研究所,100-299人,其它,面议
场景仿真测试工程师,北京,硕士,国家创新中心,500-999人,国企,面议
渠道运营经理,北京,本科,“互联网之光”博览会,,其它,1.5万-2.5万
网络信息安全攻防工程师,北京,学历不限,中国联通,10000人以上,国企,面议
测试控制与数字化工程师,北京,硕士,北汽集团,100-299人,国企,面议
软件算法设计师,北京,硕士,电视电声研究所,100-299人,其它,面议
网络数字化项目建设运营,北京,本科,中国联合网络通信有限公司北京市分公司,,国企,6千-8千
商务专员（华睿）(J13916),北京,本科,“互联网之光”博览会,,其它,面议
行业云支撑经理,北京,学历不限,中国联通,10000人以上,国企,面议
属性集成,北京,硕士,北汽集团,100-299人,国企,面议
技术服务部-服务交付管理专员,北京,本科,新华三,10000人以上,股份制企业,面议
数据分析师,北京,大专,阿鲁科尔沁旗迪新网络科技有限公司,100-299人,民营,8千-1.5万
技术数据统计担当,北京,学历不限,丰田汽车（中国）投资有限公司,500-999人,外商独资,1万-1.2万
京东运营助理（双休五险一金）,北京,中技,聚志网创,100-299人,股份制企业,6千-9千
财务分析师,北京,本科,北京华软数云科技有限公司,20-99人,民营,7千-9千
流病与医学统计分析师,北京,硕士,悦优博迈,20-99人,民营,1万-2万
数据分析师 （实习生）,北京,本科,北京遥领医疗科技有限公司,20-99人,民营,5千-6千
总监助理双休,北京,大专,北京首建同创投资管理有限公司,,,8千-1.5万
生物信息工程师,北京,硕士,百世诺(北京)医学检验实验室有限公司,100-299人,民营,3万-5万
商业运营,北京,本科,华润置地,10000人以上,国企,1万-1.5万
数据分析师 (MJ000793),北京,本科,中信百信银行股份有限公司,100-299人,银行,面议
运营专员,北京,大专,北京独创时代科技有限公司,100-299人,民营,7千-9千
商务助理-应届毕业生,北京,本科,东方雨虹,1000-9999人,上市公司,8千-1万
分子与细胞生物学科学家-药理-高级,北京,硕士,维泰瑞隆,100-299人,外商独资,1.2万-2.4万
生物信息工程师,北京,硕士,华诺奥美,500-999人,民营,1.8万-2.5万
投资助理岗,北京,硕士,国机汽车,1000-9999人,上市公司,1万-2万
数据分析岗(J10348),北京,硕士,大家保险集团有限责任公司,10000人以上,股份制企业,面议
材料工程师,北京,硕士,天科合达,300-499人,股份制企业,9千-1.5万
数据分析工程师,北京,硕士,北京锐安科技有限公司,1000-9999人,股份制企业,1万-2万
数据分析师,北京,硕士,中路交科(北京)交通咨询有限公司,20-99人,其它,1.2万-2万
创新战略与产业分析咨询师,北京,硕士,中国航天系统科学与工程研究院,500-999人,事业单位,1.5万-2.5万
数据分析专员,北京,本科,喀斯玛(北京)科技有限公司,100-299人,国企,7千-9千
种子管理研究助理,北京,硕士,大北农集团,10000人以上,股份制企业,8千-1.3万
产品助理,北京,大专,新圆心信息科技有限公司,20-99人,民营,8千-1万
大数据分析师,北京,本科,深圳市味蕾餐饮文化有限公司,20-99人,民营,8千-1.2万
调研分析师,北京,硕士,中科易研(北京)科技有限公司,20-99人,股份制企业,8千-1.5万
资料分析员,北京,本科,北京翰星商贸有限公司,20-99人,,8千-1.2万
薪酬绩效专员,北京,大专,圣元,1000-9999人,上市公司,5千-1万
数据分析专员实习生,北京,大专,北京鱼游四海科技有限公司,20-99人,民营,7千-1.2万
软件数据分析师,北京,本科,北京靖川科技有限公司,20人以下,,8千-1.2万
文员内勤,北京,中专/中技,北京博弘建材有限公司,20-99人,民营,4千-6千
python数据分析,北京,本科,易才集团,1000-9999人,民营,6千-1万
金融数据分析助理,北京,本科,北京首建同创投资管理有限公司,,,1万-2万
项目专员,北京,大专,爱玛客服务产业（中国）有限公司,10000人以上,外商独资,8千-9千
建筑检测鉴定试验员,北京,高中,北京市建设工程质量第一检测所有限责任公司,100-299人,国企,5千-8千
高级工程师,北京,博士,中国科学院物理研究所,1000-9999人,事业单位,1.7万-3万
研发工程师---校招,北京,硕士,北京卫蓝新能源科技有限公司,500-999人,民营,8千-1.6万
数据分析科学家,北京,硕士,北京贝瑞和康生物技术有限公司,1000-9999人,上市公司,1.5万-2.5万
数据分析师,北京,大专,点奇互联(北京)科技有限公司,100-299人,,8千-1.5万
遥感图像特征提取相关算法分析与设计,北京,硕士,中国科学院空天信息创新研究院,1000-9999人,事业单位,1.6万-2.4万
豪宅运营/底薪8500-11000+提成3-30%,北京,本科,丽兹行,1000-9999人,民营,1.5万-2万
实验员,北京,学历不限,北京普恩光德生物科技开发有限公司,100-299人,民营,8千-1万
数据分析师,北京,学历不限,保定启浩人力资源服务有限公司,20人以下,民营,1.5万-2.5万
数据分析管培生,北京,本科,北京物美商业集团股份有限公司,10000人以上,民营,8千-1.3万
