rank,title,detail_url,img_url,rating_num,comment_num,quote
49,罗马假日,https://movie.douban.com/subject/1293839/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,9.1,861708人评价,爱情哪怕只有一天。
50,钢琴家,https://movie.douban.com/subject/1296736/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,9.2,527442人评价,音乐能化解仇恨。
51,让子弹飞,https://movie.douban.com/subject/3742360/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,8.9,1487231人评价,你给我翻译翻译，神马叫做TMD的惊喜。
52,指环王1：护戒使者,https://movie.douban.com/subject/1291571/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.jpg,9.1,754780人评价,传说的开始。
53,黑客帝国,https://movie.douban.com/subject/1291843/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,9.1,751871人评价,视觉革命。
54,海蒂和爷爷,https://movie.douban.com/subject/25958717/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,9.3,465417人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
55,大闹天宫,https://movie.douban.com/subject/1418019/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,9.4,377190人评价,经典之作，历久弥新。
56,辩护人,https://movie.douban.com/subject/21937445/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,9.2,533705人评价,电影的现实意义大过电影本身。
57,教父2,https://movie.douban.com/subject/1299131/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,9.2,478910人评价,优雅的孤独。
58,死亡诗社,https://movie.douban.com/subject/1291548/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,9.1,625354人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
59,狮子王,https://movie.douban.com/subject/1301753/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,9.1,742636人评价,动物版《哈姆雷特》。
60,绿皮书,https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,8.9,1424099人评价,去除成见，需要勇气。
