jobName,position,company_name,company_size,company_type,salary
大数据分析师助理,德州-德城区,北京智动数联科技有限公司,20-99人,民营,8千-1.2万
数据分析专员,衡水-故城县,正大食品(衡水)有限公司,500-999人,外商独资,4千-5千
金融数据分析助理,北京-朝阳,北京首建同创投资管理有限公司,,,1万-1.5万
数据分析师（接受助理和实习生）,杭州-滨江,江西梦谷网络科技有限公司,100-299人,股份制企业,1.1万-1.6万· 13薪
办公室文员（财经数据分析方向）,天津-河东,润建股份,1000-9999人,股份制企业,3千-4千
大数据分析师助理,烟台-芝罘,北京卓崛科技有限公司,20人以下,,8千-1.2万
大数据分析师助理,青岛-市北,北京卓崛科技有限公司,20人以下,,8千-1万
数据分析助理,北京-丰台,黑铁时代(北京)科技有限公司,20-99人,民营,1万-1.1万
数据分析师（接受助理和实习生）,杭州-钱塘,江西梦谷网络科技有限公司,100-299人,股份制企业,1.1万-1.6万· 13薪
数据分析助理,苏州-吴中,广州欧艳科技有限公司,20-99人,民营,6千-1万
数据分析助理,北京-海淀,深圳中科睿志科技有限公司,100-299人,民营,7千-1.2万· 13薪
数据分析师（接受助理和实习生）,杭州-上城,江西梦谷网络科技有限公司,100-299人,股份制企业,1.1万-1.6万· 13薪
数据分析助理,北京-朝阳,恒希(北京)财税服务有限责任公司,20-99人,民营,8千-1.2万
BI数据分析助理（7k+包住）,苏州-吴中,广州欧艳科技有限公司,20-99人,民营,7千-1.2万
标准化运营助理（要会数据分析）,杭州-余杭,外企德科,1000-9999人,合资,8千-1万
数据分析师（招收实习生和助理）,杭州-上城,江西梦谷网络科技有限公司,100-299人,股份制企业,1万-1.5万· 13薪
数据分析师（招收实习生和助理）,杭州-拱墅,江西梦谷网络科技有限公司,100-299人,股份制企业,1万-1.5万· 13薪
数据分析师（招收实习生和助理）,杭州-滨江,江西梦谷网络科技有限公司,100-299人,股份制企业,1万-1.5万· 13薪
数据分析助理固定双休,苏州-吴中,广州市天河区升立科技有限公司,100-299人,股份制企业,8千-1.2万· 13薪
数据分析助理,北京,北京康健阿福物业管理有限公司,1000-9999人,民营,7千-1万
大数据分析助理,长沙-芙蓉,贵州泓沥互联网数据服务有限公司,100-299人,其它,6千-1万· 13薪
数据分析师（招收实习生和助理）,杭州-西湖,江西梦谷网络科技有限公司,100-299人,股份制企业,1万-1.5万· 13薪
BI数据分析师助理,杭州-拱墅,杭州红鲤鱼网络科技有限责任公司,100-299人,民营,5千-6千
数据分析师（招收实习生和助理）,杭州-萧山,江西梦谷网络科技有限公司,100-299人,股份制企业,1万-1.5万· 13薪
数据分析助理（双休）,苏州-吴中,广州鸿雪科技有限公司,100-299人,其它,6千-1万· 13薪
数据分析助理（双休）,长沙-岳麓,深圳市悠悠然科技有限公司,100-299人,民营,7千-1.3万
数据分析助理实习生,北京-朝阳,南京欧思其软件服务有限公司北京分公司,300-499人,民营,200-210/天
数据分析助理,长沙-雨花,深圳出海一叮科技有限公司,20-99人,民营,3千-6千
电商运营助理/产品运营/营销人才/数据分析员/新媒体运营,长沙-岳麓,长沙贝乐贸易有限公司,,,4千-6千
