jobName,position,company_name,company_size,company_type,salary
数据分析（14薪、早九晚五、不加班）,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.5万-2万
高级数据分析工程师,上海-闵行,上海爱数信息技术股份有限公司,1000-9999人 ,民营 ,2.5万-3.5万
销售支持（数据分析）,上海-浦东,济民可信,10000人以上 ,民营 ,7千-8千
数据分析专员,上海-浦东,智联猎头,1000-9999人 ,上市公司 ,1万-2万
Data Analysis数据分析专员,上海-浦东,上海柏迦科技有限公司,100-299人 ,合资 ,8千-1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析实习生,上海-徐汇,中国四达国际经济技术合作公司上海分公司,100-299人 ,国企 ,100-150/天
Compliance Data Analyst/合规数据分析,上海-嘉定,迅达(中国)电梯有限公司,10000人以上 ,外商独资 ,面议
华为软件开发/前端/测试/数据/分析/安全岗,上海-浦东,外企德科,1000-9999人 ,合资 ,1.5万-3万
数据分析（银行正编、早九晚五不内卷）,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,2万-4万
物流专员，本科+数据分析，线上运营+五险一金,上海-浦东,上海链家地产,10000人以上 ,民营 ,8千-1.2万
数据分析经理（对公方向）,上海-浦东,上海交银信息数据有限公司,1000-9999人 ,国企 ,1.6万-3万
数据分析文员,上海-闵行,上海乐邦养老服务有限公司,20-99人 ,民营 ,6千-7千
数据分析（市场方向）,上海-徐汇,科锐国际,1000-9999人 ,合资 ,9千-1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
生物信息学数据分析员,上海-杨浦,上海津复生物科技有限公司,100-299人 ,民营 ,1万-1.3万
数据分析主管,上海-浦东,上海交银信息数据有限公司,1000-9999人 ,国企 ,3万-4万
数据分析经理,上海-静安,北京仕邦达人力资源服务有限公司上海分公司,100-299人 ,合资 ,2.5万-4万
商业数据分析经理-500强罗氏诊断,上海-闵行,外企德科,1000-9999人 ,合资 ,1万-2万
数据分析/线上运营/门店销售/线上VR高科技/保障8k,上海,上海链家地产,10000人以上 ,民营 ,8千-1.4万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析工程师,上海-杨浦,上海回城信息科技咨询中心, , ,2万-2.7万
瑞典汽车品牌—销售数据分析专员,上海-虹口,上海中智项目外包咨询服务有限公司,1000-9999人 ,国企 ,1.5万-2万
平台大数据分析及咨询服务工程师,上海-闵行,上海市建筑科学研究院有限公司,500-999人 ,国企 ,8千-1.2万
开发工程师(数据分析)-中、高级-上海,上海-浦东,深圳市德科信息技术有限公司,1000-9999人 ,股份制企业 ,1.6万-2.5万
主数据分析设计工程师,上海-浦东,中远海运科技(北京)有限公司,100-299人 ,国企 ,1.3万-2.5万
