job_name,position,diploma,company_name,company_size,company_type,salary
电商运营专员,上海,大专,上海拼吖信息技术有限公司,20人以下,民营,5千-8千
数据分析助理（第三方派遣）,上海,本科,三井住友银行(中国)有限公司,1000-9999人,外商独资,面议
电商运营管培生(J10834),上海,本科,维达纸业（北京）有限公司,300-499人,上市公司,6千-7千
投诉处理客服 - 进口品牌车,上海,大专,安联世合国际救援服务(北京)有限公司,500-999人,外商独资,1万-1.1万
电商运营专员,上海,大专,上海事成软件股份有限公司,100-299人,民营,6千-1万
业务助理,上海,大专,上海君江材料科技有限公司,20-99人,民营,5千-7千
【大型汽车合资企业】采购助理,上海,本科,任仕达企业管理(上海)有限公司深圳分公司,100-299人,外商独资,7千-8千
人事前台+免费住宿+五险一金,上海,中专/中技,上海绿阳贸易有限公司,10000人以上,股份制企业,6千-1万
物流专员，本科+数据分析，线上运营+五险一金,上海,本科,上海链家地产,10000人以上,民营,8千-1.2万
助理研究员,上海,硕士,上海政和社会事务服务中心,20-99人,其它,1万-1.5万
市场策划助理 (MJ000398),上海,本科,上海东方财富期货有限公司,100-299人,民营,1万-1.5万
迪土尼讯息服务中心,上海,学历不限,广州森林人力资源有限公司,20-99人,其它,5千-6千
助理商品经理(J12999),上海,大专,广州市斯凯奇商业有限公司,500-999人,外商独资,1.5万-2万
调研部文员,上海,大专,上海梅花信息股份有限公司,100-299人,民营,4千-6千
市场企划专员,上海,本科,上海东浩兰生信息科技有限公司,20-99人,国企,8千-1.3万
业务助理,上海,大专,安美特(中国)化学有限公司,1000-9999人,外商独资,6千-8千
人事助理,上海,大专,中国人寿保险股份有限公司上海市分公司黄浦北京西路营销服务部,10000人以上,国企,6千-1.2万
办公室助理,上海,本科,南京玖奕私募基金管理合伙企业(有限合伙),20-99人,民营,6千-1.2万
财政绩效评价 项目助理,上海,本科,上海厚贤科技咨询有限公司,20人以下,民营,7千-1.2万
运营助理,上海,本科,环球互通品牌服务有限公司,20-99人,民营,6千-7千
天猫推广专员,上海,学历不限,上海灵刻实业有限公司,20-99人,民营,7千-1万
主播助理,上海,大专,飞科电器,1000-9999人,上市公司,1万-1.5万
shopify独立站运营专员,上海,本科,上海元雀信息科技有限公司,20-99人,民营,8千-1.2万
销售助理,上海,大专,上海环利医疗器械有限公司,20人以下,民营,5千-6千
人事前台+免费住宿,上海,学历不限,上海绿阳贸易有限公司,10000人以上,股份制企业,6千-1.2万
科学家助理研究员,上海,本科,上海药苑生物科技有限公司,20-99人,外商独资,8千-1.5万
海外广告投放,上海,本科,钰真(上海)信息技术有限公司,500-999人,民营,8千-1.1万
日语助教,上海,本科,上海前途出国留学服务有限公司,500-999人,民营,6千-8千
助理过程控制工程师（2023届实习转正）,上海,本科,西艾科德管理(上海)有限公司,500-999人,外商独资,7千-1.4万
闪购-城市业务-BD-上海,上海,大专,北京三快在线科技有限公司,1000-9999人,上市公司,面议
物流专员,上海,大专,上海侨菲咨询管理有限公司,300-499人,民营,7千-9千
生鲜交易处理,上海,大专,永辉彩食鲜发展有限公司,1000-9999人,合资,6千-1万
网站运营,上海,大专,浙江菜鸟传橙网络技术有限公司,10000人以上,民营,8千-1.2万
上市企业 500强公司 数据分析师和方案解决专家,上海,本科,上海链家地产,10000人以上,民营,9千-1.6万
采购助理（偏数据分析）,上海,本科,任仕达企业管理(上海)有限公司深圳分公司,100-299人,外商独资,7千-8千
市场专员,上海,大专,广汇汽车服务,1000-9999人,上市公司,8千-1.2万
运动控制 采购/供应链实习,上海,本科,ABB,10000人以上,外商独资,面议
邀约客服,上海,本科,中国人寿保险股份有限公司上海市分公司黄浦北京西路营销服务部,10000人以上,国企,8千-1.2万
销售助理,上海,大专,苏州玄朔信息技术有限公司,300-499人,,5千-7千
产品专员（雍恩）,上海,大专,力新仪器,1000-9999人,外商独资,5千-1万
数字营销专员 Digital Marketing Specialist,上海,本科,法旅管理咨询(上海)有限公司,20-99人,外商独资,9千-1.2万
营建助理,上海,大专,味千（中国）,1000-9999人,外商独资,5千-7千
1实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
中药临床助理研究员(J10335),上海,硕士,京新药业,1000-9999人,上市公司,1万-1.5万
东心医疗-研发助理工程师,上海,硕士,临港管委会,,国家机关,面议
运营助理周末双休,上海,学历不限,上海帮邦食品有限公司,20-99人,民营,5千-1万
数据分析咨询助理（上海电缆所）,上海,本科,申能集团,500-999人,国企,8千-1.1万
人力资源管理师,上海,大专,昌硕科技,10000人以上,外商独资,8千-1万
课程销售【无责5k+ 房补1000 免费晚餐】,上海,大专,上海良林企业管理有限公司,300-499人,股份制企业,1.2万-1.5万
卫百辛集团-人事专员,上海,本科,上海中智科创服务外包有限公司,1000-9999人,国企,7千-9千
销售助理,上海,大专,上海卓运信息工程有限公司,20-99人,民营,5千-8千
网点测评考核员,上海,大专,韵达快递,10000人以上,上市公司,5千-6千
人力资源实习生/管培生/在校生,上海,本科,正德人力资源股份有限公司,10000人以上,民营,3千-4千
销售运营,上海,大专,上海怡盟科技有限公司,20-99人,民营,6千-8千
财务助理,上海,本科,慧勒科技(上海)股份有限公司,100-299人,股份制企业,6千-8千
运营助理,上海,学历不限,上海利茸贸易有限公司,20人以下,民营,4千-6千
文员,上海,大专,上海梅花信息股份有限公司,100-299人,民营,4千-6千
电商运营-全职,上海,学历不限,上海佳升环保科技有限公司,20-99人,民营,6千-1.2万
流式平台助理研究员/研究员/高级研究员,上海,本科,宁波熙宁检测技术有限公司,100-299人,民营,7千-1.4万
实验室技术员,上海,大专,济南好前程信息咨询服务有限公司,100-299人,民营,6千-8千
互联网运营,上海,本科,上海链家地产,10000人以上,民营,8千-1.4万
（永安瑞萌）财务管理岗,上海,本科,永安期货,1000-9999人,国企,1.1万-1.4万
店铺运营助理,上海,大专,佳格投资(中国)有限公司上海分公司,1000-9999人,外商独资,7千-1万
团体保险客户服务项目经理,上海,本科,中国人寿保险股份有限公司上海市分公司,10000人以上,国企,6千-1.2万
采购实习生,上海,大专,壹药网科技(上海)股份有限公司,1000-9999人,上市公司,2千-3千
订单客服专员,上海,本科,科锐尔人力资源服务(苏州)有限公司,1000-9999人,上市公司,1万-1.5万
运营助理,上海,大专,上海椰草科技有限公司,20人以下,,5千-1万
跨境电商运营,上海,本科,江西聚凌光网络科技有限公司,,,1.2万-1.5万
运营管理专员（客服中心）,上海,大专,华硕电脑（上海）有限公司,1000-9999人,外商独资,5千-8千
运营助理,上海,中专/中技,邦芒服务外包有限公司,500-999人,上市公司,5千-6千
